aX,aY,aZ,gX,gY,gZ,Angle1,Angle2,Angle3,Angle4,Angle5
856,-40,-283,-53.406,-4.700,10.132,6.0,20.0,16.0,33.0,8.0
790,-45,-296,-49.316,5.920,10.620,5.0,19.0,17.0,34.0,7.0
842,-55,-268,-41.138,32.227,9.583,5.0,19.0,17.0,32.0,9.0
896,-87,-249,-35.950,41.687,7.874,5.0,19.0,17.0,32.0,8.0
935,-128,-253,-41.809,31.677,4.517,5.0,18.0,17.0,33.0,8.0
950,-112,-273,-46.875,25.330,5.066,5.0,19.0,17.0,34.0,7.0
901,-109,-334,-54.749,12.512,9.644,6.0,19.0,17.0,35.0,7.0
864,-85,-384,-54.321,12.390,10.193,5.0,19.0,16.0,34.0,7.0
855,-64,-433,-46.692,16.785,8.911,5.0,19.0,17.0,33.0,8.0
879,-105,-378,-32.288,28.015,8.423,6.0,19.0,17.0,34.0,8.0
949,-135,-335,-35.156,34.119,12.146,6.0,19.0,16.0,33.0,7.0
954,-133,-371,-43.762,23.804,17.456,5.0,19.0,17.0,34.0,8.0
897,-91,-480,-35.583,17.883,15.747,6.0,18.0,17.0,33.0,7.0
